dataset_index,source_step_index,majority_label,majority_count,neutral_votes,correct_votes,incorrect_votes,vote_pattern,has_correct,has_incorrect,has_neutral,correct_incorrect_conflict,votes_sequence
157,7,correct,5,2,5,0,5-2,1,0,1,0,correct|correct|neutral|correct|correct|neutral|correct
158,2,correct,6,1,6,0,6-1,1,0,1,0,correct|neutral|correct|correct|correct|correct|correct
158,4,incorrect,4,3,0,4,4-3,0,1,1,0,incorrect|incorrect|incorrect|neutral|neutral|incorrect|neutral
169,1,neutral,4,4,3,0,4-3,1,0,1,0,neutral|neutral|correct|neutral|correct|neutral|correct
169,2,correct,4,3,4,0,4-3,1,0,1,0,correct|correct|correct|correct|neutral|neutral|neutral
169,8,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|correct|correct|correct|correct|neutral
169,9,incorrect,6,1,0,6,6-1,0,1,1,0,incorrect|neutral|incorrect|incorrect|incorrect|incorrect|incorrect
170,3,correct,5,2,5,0,5-2,1,0,1,0,correct|correct|neutral|correct|correct|neutral|correct
170,4,correct,4,3,4,0,4-3,1,0,1,0,neutral|neutral|correct|correct|correct|neutral|correct
173,4,correct,4,3,4,0,4-3,1,0,1,0,correct|correct|correct|correct|neutral|neutral|neutral
175,4,incorrect,4,3,0,4,4-3,0,1,1,0,incorrect|neutral|incorrect|neutral|incorrect|incorrect|neutral
181,5,correct,4,3,4,0,4-3,1,0,1,0,correct|neutral|correct|neutral|correct|neutral|correct
181,6,incorrect,6,1,0,6,6-1,0,1,1,0,incorrect|incorrect|incorrect|incorrect|incorrect|neutral|incorrect
190,1,neutral,6,6,1,0,6-1,1,0,1,0,neutral|neutral|neutral|neutral|neutral|neutral|correct
190,2,neutral,6,6,1,0,6-1,1,0,1,0,neutral|correct|neutral|neutral|neutral|neutral|neutral
190,4,neutral,4,4,3,0,4-3,1,0,1,0,correct|neutral|neutral|correct|neutral|correct|neutral
191,8,neutral,6,6,0,1,6-1,0,1,1,0,neutral|neutral|neutral|neutral|neutral|incorrect|neutral
194,3,correct,5,2,5,0,5-2,1,0,1,0,correct|correct|neutral|correct|correct|correct|neutral
194,9,neutral,5,5,2,0,5-2,1,0,1,0,neutral|neutral|neutral|neutral|neutral|correct|correct
195,1,neutral,5,5,2,0,5-2,1,0,1,0,neutral|neutral|correct|correct|neutral|neutral|neutral
195,2,neutral,4,4,3,0,4-3,1,0,1,0,correct|correct|neutral|neutral|correct|neutral|neutral
196,8,incorrect,5,2,0,5,5-2,0,1,1,0,incorrect|neutral|neutral|incorrect|incorrect|incorrect|incorrect
